IMO.Number,predicted.kg.CO2.per.nm,TEU.predicted.kg.CO2.per.nm
5231159,106.8746911,NA
5231795,377.5557691,NA
5232658,120.9270906,NA
5232725,123.189922,NA
5233353,277.7167612,NA
5233547,377.7920845,NA
5233688,120.7952797,NA
5233729,120.7952797,NA
5233913,377.5557691,NA
5233999,377.1867409,NA
5234539,118.9081312,NA
5234606,377.5557691,NA
5234981,381.9690463,NA
5235208,118.4344997,NA
5235272,120.7952797,NA
5236783,122.8489349,NA
5237139,120.7952797,NA
5237141,120.7952797,NA
5237488,125.2184403,NA
5237787,123.189922,NA
5238004,377.5557691,NA
5238016,377.5557691,NA
5238030,376.4598303,NA
5238432,377.5557691,NA
5238573,377.5557691,NA
5238779,377.5557691,NA
5238808,379.47259,NA
5239503,120.7952797,NA
5239682,376.4598303,NA
5239876,120.7952797,NA
5239931,119.7676999,NA
5240045,376.4598303,NA
5240124,377.5557691,NA
5241063,376.3447456,NA
5241453,119.935711,NA
5241532,377.5557691,NA
5242627,376.3447456,NA
5242641,117.574931,NA
5242952,377.5557691,NA
5243970,120.7952797,NA
5244156,119.6768348,NA
5244429,120.1399892,NA
5245019,119.5166422,NA
5245564,118.6265285,NA
